ID,time,latitude,longitude,mag
1,2020-11-10 10:04:43.542,-18.0047,-174.9428,4.6
2,2020-11-10 09:19:27.633,-12.7841,45.5457,4.8
3,2020-11-10 04:41:51.012,12.2105,140.2602,4.8
4,2020-11-10 01:51:54.210,12.1646,140.1125,4.8
5,2020-11-10 00:52:32.920,-6.3022,104.0658,5.0
6,2020-11-09 23:18:24.736,35.4249,45.0833,4.8
7,2020-11-09 16:45:33.037,-3.7939,153.3431,5.5
8,2020-11-09 15:22:57.404,0.8805,125.2774,4.5
9,2020-11-09 07:42:42.324,-52.3669,160.8624,4.6
10,2020-11-09 06:11:24.175,-3.5136,131.3132,4.5
11,2020-11-09 03:18:20.420,15.6702,-103.6516,4.5
12,2020-11-08 16:37:28.436,-3.5093,135.4845,4.5
13,2020-11-08 13:29:22.779,52.946,142.7841,4.6
14,2020-11-08 12:19:02.413,37.3731,71.937,4.6
15,2020-11-08 12:08:08.615,-46.659,42.3237,4.7
16,2020-11-08 10:46:03.443,-5.7191,-76.6854,4.7
17,2020-11-08 06:31:14.877,0.9512,-28.2147,5.1
18,2020-11-08 04:56:02.875,-20.7062,-70.8608,4.6
19,2020-11-08 03:34:28.882,-27.7808,-71.1478,4.7
20,2020-11-08 02:59:38.331,32.3478,141.6334,4.6
21,2020-11-08 01:23:27.106,13.8292,-91.2238,4.5
22,2020-11-08 00:39:03.808,-11.6348,164.9895,5.3
23,2020-11-07 22:47:31.377,-35.245,54.1304,4.8
24,2020-11-07 21:30:43.805,32.4574,141.8699,5.2
25,2020-11-07 20:37:27.991,-5.0925,152.9689,4.9
26,2020-11-07 17:17:05.266,-20.8809,-176.655,4.9
27,2020-11-07 12:56:04.098,-62.283,-58.3277,4.7
28,2020-11-07 12:23:11.989,61.5218,-149.9095,5.0
29,2020-11-07 12:15:41.776,51.3766,-179.0503,4.7
30,2020-11-07 09:27:04.769,-15.2741,-173.5606,6.1
31,2020-11-07 08:06:55.277,32.3975,141.5691,4.8
32,2020-11-07 05:43:17.703,15.1948,-104.4125,4.5
33,2020-11-07 05:19:04.422,8.0438,-83.0057,4.7
34,2020-11-07 01:10:32.164,25.6893,143.6273,5.8
35,2020-11-07 00:23:29.681,28.3169,104.992,4.6
36,2020-11-06 23:49:18.304,-62.2779,-58.0593,6.0
37,2020-11-06 23:41:47.235,-1.9522,119.3325,4.9
38,2020-11-06 17:16:54.031,40.9118,143.3526,5.2
39,2020-11-06 16:50:53.350,-21.1693,-68.0364,4.7
40,2020-11-06 16:14:27.818,40.9427,143.3463,4.6
41,2020-11-06 09:17:07.290,40.9587,143.1809,4.9
42,2020-11-06 09:05:27.401,54.0373,-159.6568,4.5
43,2020-11-06 08:56:38.855,40.9928,143.2504,5.5
44,2020-11-06 07:38:54.667,40.1506,71.6484,5.2
45,2020-11-06 06:20:07.790,-7.4682,128.401,5.2
46,2020-11-06 01:40:17.970,23.1417,122.0552,4.8
47,2020-11-06 01:39:36.754,10.6585,-86.4583,4.6
48,2020-11-05 22:16:27.354,39.9258,23.9866,4.9
49,2020-11-05 21:57:03.709,-6.5998,146.9654,5.2
50,2020-11-05 18:36:13.902,22.6465,121.3579,4.9
51,2020-11-05 16:17:44.682,54.5049,-165.3297,4.5
52,2020-11-05 12:56:32.633,54.1803,-159.8007,5.1
53,2020-11-05 10:39:30.382,31.8773,49.063,4.7
54,2020-11-05 03:34:11.119,-23.5257,-114.875,4.8
55,2020-11-05 03:01:32.372,49.6532,108.7917,4.9
56,2020-11-05 00:32:02.606,-7.4358,126.0944,4.7
57,2020-11-04 22:21:50.300,-7.4116,106.1051,5.0
58,2020-11-04 18:47:33.240,14.868,-61.5296,4.5
59,2020-11-04 18:27:51.389,9.9776,126.0225,5.0
60,2020-11-04 17:51:55.904,40.1872,48.4078,4.5
61,2020-11-04 12:28:42.798,-35.5486,-103.9511,5.3
62,2020-11-04 12:23:45.667,53.578,-164.8189,5.0
63,2020-11-04 09:38:12.728,-17.7126,-178.3614,4.5
64,2020-11-04 06:20:49.748,-62.2887,-58.1289,4.7
65,2020-11-04 03:27:23.584,52.5913,-162.5867,4.9
66,2020-11-04 02:54:50.509,-34.9779,-107.5899,4.9
67,2020-11-04 01:35:33.057,-55.884,-27.0226,5.2
68,2020-11-03 23:07:54.726,-23.9117,-179.8953,4.5
69,2020-11-03 20:22:22.903,71.4096,-3.5463,4.9
70,2020-11-03 19:47:33.813,-44.446,-79.7722,4.8
71,2020-11-03 19:05:44.766,-3.2297,-104.7986,4.5
72,2020-11-03 18:17:45.886,-17.9283,168.3836,4.9
73,2020-11-03 17:59:05.601,21.1062,121.7411,4.6
74,2020-11-03 16:52:28.954,0.1745,97.7686,4.8
75,2020-11-03 15:20:15.241,16.1104,145.403,4.6
76,2020-11-03 15:18:59.022,14.9071,147.2132,4.8
77,2020-11-03 15:02:24.813,-62.3213,-58.1524,4.7
